title,titleExt.es,titleExt.pt,languages.English,languages.Japanese,languages.Portuguese (Brazil),languages.Spanish (Latin Am),"languages.Chinese (Mandarin, PRC)",synopsis.long,synopsis.short,synopsis.medium,synopsisExt.en.long,synopsisExt.en.medium,synopsisExt.en.short,synopsisExt.es.long,synopsisExt.es.medium,synopsisExt.es.short,synopsisExt.pt.long,synopsisExt.pt.medium,synopsisExt.pt.short,synopsisExt.ru.long,synopsisExt.ru.medium,synopsisExt.ru.short,synopsisExt.fr.long,synopsisExt.fr.medium,synopsisExt.fr.short,synopsisExt.de.long,synopsisExt.de.medium,synopsisExt.de.short,maturity.bra,maturity.ca,maturity.irl,maturity.mex,maturity.usa,maturity.chl,maturity.per,maturity.col,maturity.aus,maturity.nzl,genres,studios,showUrl,showSlug,productionYear,releaseYear,quality,ratingUsTvMpaa,ratingPairs,venueId,versions,videoTypes,relevancy,description,id,type
Gunslinger Stratos,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,true,false,"[""Action/Adventure""]","[""Aniplex""]",/shows/gunslinger-stratos/,gunslinger-stratos,2015,2015,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|M""]",1103320,"[""Uncut""]","[""episode""]",1,"In 2115 A.D., society faces the doom of “degradation”—a rare disease that disintegrates the human body into sand—and it’s spreading. Ordinary student Tohru Kazasumi becomes embroiled in a multi-universe battle when he discovers an alternate version of himself from the parallel world of Frontier S (Stratos). Futures will collide when their paths cross. Can both worlds ever find peace?",GSS,Show
Gurren Lagann,Gurren Lagann,Gurren Lagann,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi"",""Comedy""]","[""Aniplex""]",/shows/gurren-lagann/,gurren-lagann,2008,2008,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1044484,"[""Uncut""]","[""episode""]",1,"This is the story of a man who’s yet to realize what destiny holds in store for him. In the distant future, mankind has lived quietly and restlessly underground for hundreds of years, subject to earthquakes and cave-ins. Living in one such village are two young men: one named Simon who is shy and naïve, and one named Kamina who believes in the existence of a “surface” world above their heads.",GUL,Show
Guyver: The Bioboosted Armor,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,true,"[""Action/Adventure"",""Sci Fi""]","[""Kadokawa Pictures""]",/shows/guyver-the-bioboosted-armor/,guyver-the-bioboosted-armor,2005,2005,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",84041,"[""Uncut""]","[""episode""]",1,"While investigating a mysterious explosion, Sho Fukamachi discovers the Chronos Corporation's greatest weapon: a techno-organic suit of bio-armor known as the Guyver. With Chronos determined to conceal its secrets, Sho finds himself relentlessly pursued by an army of horrific bio-monsters. When he runs out of options, Sho is forced to call upon the fearsome powers of the Guyver.",GUY,Show
HAKYU HOSHIN ENGI,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,"[""Action/Adventure"",""Fantasy"",""Shounen""]","[""NBC Universal""]",/shows/hakyu-hoshin-engi/,hakyu-hoshin-engi,2018,2018,"{""quality"":""HD"",""height"":1080}",,[],542458,"[""Uncut"",""Simulcast""]","[""episode"",""ova""]",1,"When his entire clan is wiped out by a beautiful fox demon, young Taikobo is put in charge of the Hoshin Project. Burdened with sealing away evil immortals, Taikobo must figure out who he can trust while trying to save the world.",HHE,Show
HANEBADO!,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Slice of Life""]","[""Toho Co Ltd""]",/shows/hanebado/,hanebado,2018,2018,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",571043,"[""Simulcast"",""Uncut""]","[""episode""]",1,"Despite her great potential, Ayano Hanesaki would rather avoid badminton than play it. But when she meets Nagisa Aragaki, a third year who spends every waking moment perfecting her game, she’s inspired. Encouraged by their coach, Tachibana Kentarou, Ayano and Nagisa will hit the court and rally against rivals with amazing skills!",HBD,Show
HINAMATSURI,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Sci Fi"",""Slice of Life""]","[""Kadokawa""]",/shows/hinamatsuri/,hinamatsuri,2018,2018,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",559484,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Yakuza member Yoshifumi Nitta’s life takes a turn when an odd young girl falls onto his head. Following their strange first meeting, Nitta discovers that the girl possesses strong telekinetic abilities and, despite his protests, has no choice but to care for her. For better or for worse, they’ll try to keep their newly formed partnership from blowing up in their faces.",HNM,Show
HYPNOSISMIC -Division Rap Battle- Rhyme Anima,HYPNOSISMIC -Division Rap Battle- Rhyme Anima,HYPNOSISMIC -Division Rap Battle- Rhyme Anima,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,true,true,,true,,,,,,"[""Action/Adventure"",""Comedy"",""Drama""]","[""Aniplex""]",/shows/hypnosismic-division-rap-battle-rhyme-anima/,hypnosismic-division-rap-battle-rhyme-anima,2020,2020,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",1174544,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Legendary rap group The Dirty Dawg could have taken Japan by storm, but they broke up before they could. Now each member has joined one of four rival groups—fighting for the territories Ikebukuro, Yokohama, Shibuya, and Shinjuku. Battles for turf are fought with Hypnosis Mics. These special microphones have the power to affect the human spirit, and people now use rap to determine superiority.",HYM,Show
Haganai,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,false,false,"[""Comedy"",""Fan Service""]","[""Media Factory""]",/shows/haganai/,haganai,2011,2011,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|M"",""FVLB|M""]",38425,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Yozora and Kodoka are social catastrophes at their school. In order to make friends with other misfits, they start the Neighbors Club. In no time, a third member joins the club: Sena, a popular girl who annoys Yozora to no end. If the girls can get past their rivalry, they might learn an important lesson: Sometimes the best friends are the friends you never even wanted.",HAA,Show
Hakata Tonkotsu Ramens,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,true,"[""Action/Adventure""]","[""Warner Bros.""]",/shows/hakata-tonkotsu-ramens/,hakata-tonkotsu-ramens,2018,2018,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",541380,"[""Simulcast"",""Uncut""]","[""episode""]",1,"Crime reaches new heights in the seedy underworld of Fukuoka—a city home to very sinister professions. Among those who kill, torture, and seek revenge as a means of living, a so-called “killer of professional killers” is becoming more than just an urban legend. Private detective Banba is on the case, but when he uncovers a dark conspiracy, it may be the one curveball he can’t hit.",HTR,Show
Hal,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Drama"",""Romance""]","[""Shochiku""]",/shows/hal/,hal,2013,2013,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|15"",""OFLC|PG"",""FVLB|PG""]",37303,"[""Uncut""]","[""movie""]",1,"Kurumi’s heart was broken by the sudden death of her boyfriend in a tragic airplane accident. Forced to carry on without her beloved Hal, she fell into a reclusive and joyless existence. Kurumi had given up on the world, but a brilliant scientist devised a plan to win her back.",HAL,Show
Hanasaku Iroha ~ Blossoms for Tomorrow ~,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Drama"",""Slice of Life""]","[""NIS America""]",/shows/hanasaku-iroha-blossoms-for-tomorrow/,hanasaku-iroha-blossoms-for-tomorrow,2011,2011,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1099557,"[""Uncut""]","[""episode"",""movie""]",1,"Whenher mother flees to avoid paying debts, Ohana is sent to live with her grandmother. Upon arriving at her grandmother’s hot spring inn, Kissuiso, she’s put to work. Thrust into a life where the customers always come first, Ohana struggles to find her place there, and fit in with her coworkers.",HIS,Show
Hand Shakers,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Kadokawa Pictures""]",/shows/hand-shakers/,hand-shakers,2017,2017,"{""quality"":""HD"",""height"":1080}",,[],268259,"[""Simulcast"",""Uncut""]","[""episode""]",1,"High school student and expert mechanic Tazuna is about to embark on an adventure that he can’t handle alone. When he comes in contact with a mysterious girl, the two find themselves in the world of Ziggurat where the power of joined psyches drives a race to challenge God himself. Caught in the midst of a gripping fight, they’ll have no choice but to get along…without letting go.",HAS,Show
Handa-kun,Handa-kun,Handa-kun,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,,,false,,false,false,false,false,false,[],"[""Tokyo Broadcasting""]",/shows/handa-kun/,handa-kun,2016,2016,"{""quality"":""HD"",""height"":1080}",,"[""RTC|B15"",""CRRBR|A14"",""OFLC|PG"",""FVLB|PG""]",139079,"[""Simulcast"",""Uncut""]","[""episode""]",1,"Sei Handa leads a very interesting life for a high school student. He is admired by his peers as a calligraphy genius and held in the highest respect. Unfortunately, Handa is under the impression that they hate him! He just wants a quiet life, but instead he’ll face countless challenges for his school idol position. Can he handle all the pressure and “bullying”? It’s hard being so clueless!",HDK,Show
Handyman Fellow Jellyfish,,,-,true,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Live-Action"",""Drama""]","[""King Records""]",/shows/handyman-fellow-jellyfish/,handyman-fellow-jellyfish,2022,2022,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",4033858,"[""Simulcast""]","[""episode""]",1,-,HJF,Show
Harmony,Harmony,Harmony,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,true,true,false,true,,,,true,,"[""Psychological"",""Sci Fi"",""Action/Adventure""]","[""Fuji Creative""]",/shows/harmony/,harmony,2015,2015,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",243901,"[""Uncut""]","[""movie""]",1,"In an idyllic future, a group of terrorists trigger a mass suicide that shocks the globe. Government agent Tuan Kirie, can’t help but think their message sounds familiar—almost identical to the ideals held by a friend who’d supposedly killed herself years earlier. Will chasing a ghost from her past be the key to unlocking a brighter future?",PIH,Show
Haruchika - Haruta & Chika,Haruchika - Haruta & Chika,Haruchika - Haruta & Chika,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,,,false,,false,false,false,false,false,"[""Drama"",""Slice of Life""]","[""Kadokawa Pictures""]",/shows/haruchika-haruta-chika/,haruchika-haruta-chika,2016,2016,"{""quality"":""HD"",""height"":1080}",,"[""RTC|B15"",""CRRBR|A14"",""OFLC|PG"",""FVLB|PG""]",91506,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Things look bleak for the school’s Wind Instrument Club until childhood friends Haruta and Chika step in to save the day. When they aren’t practicing to perfect their own playing, they’re working hard to save the club by recruiting new members. After a series of mysteries shock the school, they’ll have to add junior detectives to their already impressive resumes.",HRC,Show
Harukana Receive,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,true,true,"[""Slice of Life"",""Fan Service""]","[""Kadokawa Pictures""]",/shows/harukana-receive/,harukana-receive,2018,2018,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|R15""]",570854,"[""Simulcast"",""Uncut""]","[""episode""]",1,"Haruka is a high schooler raring and ready to start her summer break! But when she and her new roommate, Kanata, are challenged to a game of beach volleyball, it’s time to don their bathing suits and serve up some punishment—if only they knew how! Together, they’ll learn to play off each other’s strengths and find out what it means to be a team both on and off the court!",HKR,Show
Hatena Illusion,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,false,true,"[""Comedy"",""Fantasy"",""Romance"",""Slice of Life""]","[""BiliBili""]",/shows/hatena-illusion/,hatena-illusion,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1020563,"[""Simulcast"",""Uncut""]","[""episode""]",1,"Since he was a boy, Makoto Shiranui has dreamed of being a famous magician like his hero, Mamoru Hoshisato. He travels to Tokyo to train underneath his mentor and reconnect with Mamoru’s daughter, Hatena, at their haunted mansion. It seems like Hatena has a few things she can teach him as well. What kind of magic can these two conjure up when they finally take the stage?",HIL,Show
Heat Guy J,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Crei""]",/shows/heat-guy-j/,heat-guy-j,2002,2002,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",76812,"[""Uncut""]","[""episode""]",1,"The city of Judoh ain’t such a nice place to live. Deranged Mafioso Claire Leonelli rules the streets with an unpredictable brutality, and the police can’t do a damn thing to stop him. Their only hope is to find a hero—or two. Enter special agent Daisuke Aurora and a steam-powered punisher of punks known as Android J.",HEJ,Show
Heaven Official's Blessing,,,true,-,-,-,true,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Fantasy"",""Action/Adventure""]","[""bilibili""]",/shows/heaven-officials-blessing/,heaven-officials-blessing,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",1192611,"[""Simulcast""]","[""episode""]",1,"Xie Lian, the crown prince of Xian Le Kingdom, successfully ascends to Heaven during his third trial in spite of successive demotions. However, he accidentally breaks the Gold Palace of heavenly officials. With no human worshiping him, Xie Lian has to descend to the secular world to exorcise ghosts, which may help him sustain his divinity.",HOB,Show
Heaven's Lost Property,Heaven's Lost Property,Heaven's Lost Property,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,,,,true,,"[""Comedy"",""Fantasy""]","[""Kadokawa Pictures""]",/shows/heavens-lost-property/,heavens-lost-property,2009,2009,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",48164,"[""Uncut"",""Simulcast""]","[""episode"",""ova"",""movie""]",1,"Girl-crazy Tomoki’s quiet life gets turned upside down when beautiful, winged Ikaros falls from the sky—and starts calling him Master! She seems a little bit lost on Earth, and her origins are shrouded in mystery. One thing’s for sure, though—she just might have the power to make Tomoki’s every dream come true!",HVN,Show
Heavy Object,Heavy Object,Heavy Object,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,false,false,false,true,true,"[""Action/Adventure"",""Sci Fi""]","[""Showgate""]",/shows/heavy-object/,heavy-object,2015,2015,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""CRRBR|A16"",""RTC|C"",""OFLC|MA15+"",""FVLB|R15""]",91448,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Warfare has been revolutionized by the invention of mechanical weapons called “Objects.” Objects are overwhelmingly powerful, rendering traditional weapons completely useless. Qwenthur is a nebbish soldier who aims to work as an Object mechanic. He meets Milinda, an Elite Soldier who pilots her own Object. As they battle together, Qwenthur uncovers the grim secret behind the Heavy Objects.",HVO,Show
Hellsing,Hellsing,Hellsing,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,,,,true,,"[""Action/Adventure"",""Horror""]","[""Geneon Entertainment""]",/shows/hellsing/,hellsing,2001,2001,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",43755,"[""Uncut""]","[""episode""]",1,"Witness the blood-soaked roots of a legend in Hellsing, the action-horror series that launched the careers of some of anime’s brightest stars. The vampire Arucard and his servant Seras Victoria protect the British Empire from ghouls and satanic freaks. Together, they haunt the shadows as a sinister force of good—and tonight the streets of England shall flow with the blood of their evil prey.",HLS,Show
Hellsing Ultimate,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,,,true,,,,,,"[""Action/Adventure"",""Horror""]","[""Geneon Entertainment""]",/shows/hellsing-ultimate/,hellsing-ultimate,2006,2006,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""TV-US|TV-MA""]",31277,"[""Uncut""]","[""ova""]",1,"The rogue vampire Arucard is the Hellsing Organization’s deadliest instrument in its mission to protect the British Empire from satanic ghouls and Nazi freaks. With recently-turned policewoman Seras Victoria as his servant, Arucard haunts the shadows as a sinister force of good—and tonight the foggy streets of England shall flow with the blood of their evil prey.",HES,Show
"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?",Hensuki,Hensuki,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,true,true,"[""Comedy"",""Romance"",""Slice of Life"",""Fan Service""]","[""Kadokawa""]",/shows/hensuki-are-you-willing-to-fall-in-love-with-a-pervert-as-long-as-shes-a-cutie/,hensuki-are-you-willing-to-fall-in-love-with-a-pervert-as-long-as-shes-a-cutie,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|R15""]",911845,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Once upon a time, Cinderella left her panties in a boy’s locker...wait, what?! Keiki Kiryu receives a mysterious love letter with no name, but includes a pair of white undies. Curious to find this panty-leaving-Cinderella, his investigation leads him to discover that every candidate is...a total pervert! Surrounded by perversion he still has one important question to answer: who’s the perfect fit?",HEN,Show
Her Majesty,,,true,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Live-Action"",""Drama""]","[""Silicon Valley Film Fund I""]",/shows/her-majesty/,her-majesty,2004,2004,"{""quality"":""HD"",""height"":1080}",,"[""CHVRS|PG"",""IFCOF|PG"",""MPAA|PG"",""zw-movies|PG""]",47080,"[""Uncut""]","[""movie""]",1,"Elizabeth is a popular thirteen year old who can’t wait for the day the Queen of England visits her quaint New Zealand hometown. Her excitement becomes almost too much to bear upon learning that she might get to meet the Queen face to face! But as the rest of the town busies itself in eager anticipation of the big day, Elizabeth finds herself drawn to the elderly and mysterious outcast Hira.",MAJ,Show
Hero Tales,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Fantasy""]","[""Media Factory""]",/shows/hero-tales/,hero-tales,2007,2007,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|PG"",""FVLB|PG""]",100494,"[""Uncut""]","[""episode""]",1,"Lord Keiro, the Shogun of the Xian Empire, blazes a trail of terror while seeking the sacred sword that will make him a god. Standing in his way is Taito, a powerful star reborn in human form who vows to use his strength to avenge those slaughtered by Keiro. To complete his journey, Taito must seek others like him: the seven star-born warriors with the strength to shatter a corrupt empire. ",HRO,Show
Heroic Age,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Kodansha""]",/shows/heroic-age/,heroic-age,2007,2007,"{""quality"":""HD"",""height"":1080}",TVPG,"[""OFLC|PG"",""CBSC|PG"",""RTE|Ch"",""FVLB|PG"",""TV-US|TV-PG"",""zw-movies|PG""]",29924,"[""Uncut""]","[""episode""]",1,"After the Tribe of Gold vanished from the universe, the tyrannical Tribe of Silver ascended to rule, forcing mankind—the Iron Tribe—to the edge of extinction. Humanity’s search for a savior leads them to a planet of ruin where a champion foretold by prophecy is found: a feral boy named Age, who holds their destiny in his hands and the untold power of the Tribe of Hero within.",HAG,Show
Hetalia,Hetalia,Hetalia,true,true,-,-,-,-,Sí,Sí,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,true,true,false,true,,,,true,,"[""Action/Adventure"",""Fan Service"",""Slice of Life""]","[""Media Factory""]",/shows/hetalia/,hetalia,2009,2009,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""DJCTQ|16"",""FVLB|R18"",""OFLC|R18+"",""RTC|C"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",33738,"[""Uncut"",""Simulcast"",null]","[""episode"",""movie"",""ova""]",1,"Forget what you learned in history class, and imagine all the nations of the world as guys on an inappropriate reality show. Pledge allegiance to your favorite superpower in Hetalia Axis Powers!",HET,Show
Higanjima,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,false,false,"[""Live-Action"",""Drama""]","[""Showbox/Mediaplex Inc.""]",/shows/higanjima/,higanjima,2009,2009,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|M"",""FVLB|M""]",102186,"[""Uncut""]","[""movie""]",1,"Akira and his ragtag group of teenage friends begin a chilling adventure when they land on an uncharted island that’s overrun by vampires, gargoyles, and winged she-beasts. If they ever want to see the mainland again, the gang must face Miyabi, the pale, blood-sucking freakshow that commands the island’s monsters.",HIG,Show
High School DxD,High School DXD,High School DxD BorN,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,false,false,false,true,,"[""Action/Adventure"",""Comedy"",""Fan Service""]","[""Media Factory""]",/shows/high-school-dxd/,high-school-dxd,2012,2012,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""RTC|C"",""CRRBR|A16"",""OFLC|MA15+"",""FVLB|RC""]",98647,"[""Uncut"",""Simulcast""]","[""episode""]",1,"A war between heaven and hell is raging on Earth—and hormonal fury is raging in Issei’s pants. Enter curvy redhead Rias. She’s president of The Occult Research Club, a club that doesn’t actually research the occult. They are the occult—and Rias is a Devil. If Issei can improve his mystical skills, he’ll be able to help his hotter-than-hell master and her schoolgirl friends defeat their foes!",DXD,Show
High School Fleet,High School Fleet,High School Fleet,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,false,"[""Shoujo"",""Action/Adventure""]","[""Aniplex""]",/shows/high-school-fleet/,high-school-fleet,2016,2016,"{""quality"":""HD"",""height"":1080}",TVPG,"[""TV-US|TV-PG"",""CBSC|PG"",""zw-movies|PG"",""RTE|Ch"",""OFLC|PG"",""FVLB|PG"",""RTC|B"",""CRRBR|A12""]",126915,"[""Simulcast""]","[""episode""]",1,"Because of a shift in tectonic plates, Japan lost much of its area to submergence. As Coastal Cities became more dominant and sea-lanes expanded, a need arose for a staff to protect the seas. Simultaneously, maritime jobs were becoming more popular among women. Childhood friends Akeno Misaki and Moeka China enroll in a marine high school with others who share their goal of being BLUE MERMAIDS!",HFR,Show
