"title","titleExt.es","titleExt.pt","languages.English","languages.Japanese","languages.Portuguese (Brazil)","languages.Spanish (Latin Am)","languages.Chinese (Mandarin, PRC)","maturity.bra","maturity.ca","maturity.irl","maturity.mex","maturity.usa","maturity.chl","maturity.per","maturity.col","maturity.aus","maturity.nzl","genres","studios","showUrl","showSlug","productionYear","releaseYear","quality","ratingUsTvMpaa","ratingPairs","venueId","versions","videoTypes","relevancy","id","synopsis.long","synopsis.medium","synopsis.short","synopsisExt.de.long","synopsisExt.de.medium","synopsisExt.de.short","synopsisExt.en.long","synopsisExt.en.medium","synopsisExt.en.short","synopsisExt.es.long","synopsisExt.es.medium","synopsisExt.es.short","synopsisExt.fr.long","synopsisExt.fr.medium","synopsisExt.fr.short","synopsisExt.pt.long","synopsisExt.pt.medium","synopsisExt.pt.short","synopsisExt.ru.long","synopsisExt.ru.medium","synopsisExt.ru.short","type"
"Danganronpa 3: The End of Hope’s Peak High School","Danganronpa 3: The End of Hope’s Peak High School","Danganronpa 3","true","true","-","-","-",,true,true,,true,,,,,,"[""Drama"",""Horror""]","[""Showgate""]","/shows/danganronpa-3-the-end-of-hopes-peak-high-school/","danganronpa-3-the-end-of-hopes-peak-high-school",2016,2016,"{""quality"":""HD"",""height"":1080}","TVMA","[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA""]",139173,"[""Simulcast"",""Uncut""]","[""episode""]",1,"DHP","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Danganronpa: The Animation","Danganronpa","Danganronpa","true","true","-","-","-",false,false,false,false,false,false,false,false,true,,"[""Drama"",""Horror"",""Psychological""]","[""Showgate""]","/shows/danganronpa-the-animation/","danganronpa-the-animation",2013,2013,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""RTC|B15"",""CRRBR|A14"",""OFLC|MA15+"",""FVLB|R13""]",85140,"[""Uncut"",""Simulcast""]","[""episode""]",1,"DAN","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Darwin's Game","Darwin's Game","Darwin's Game","true","true","-","-","-",false,false,false,false,false,,,,,,"[""Psychological"",""Shounen"",""Action/Adventure""]","[""Aniplex""]","/shows/darwins-game/","darwins-game",2020,2020,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1018138,"[""Simulcast""]","[""episode""]",1,"DWG","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","-","Sí","Sí","Sí","Sí","Sí","-","Sí","Sí","Sí","Sí","Sí","Show"
"Date A Live","Date A Live","Date A Live","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Comedy"",""Fan Service"",""Romance"",""Sci Fi""]","[""Kadokawa""]","/shows/date-a-live/","date-a-live",2013,2013,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""DJCTQ|14""]",78393,"[""Uncut"",""Simulcast""]","[""episode"",""movie""]",1,"DAL","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Deadman Wonderland","","","true","true","-","-","-",,true,true,,true,,,,true,,"[""Action/Adventure"",""Drama"",""Horror"",""Sci Fi""]","[""Kadokawa Pictures""]","/shows/deadman-wonderland/","deadman-wonderland",2011,2011,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|R16""]",75963,"[""Uncut""]","[""episode"",""ova""]",1,"DEA","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Death March to the Parallel World Rhapsody","","","true","true","-","-","-",,,,,,,,,,,"[""Fantasy"",""Action/Adventure""]","[""AVEX""]","/shows/death-march-to-the-parallel-world-rhapsody/","death-march-to-the-parallel-world-rhapsody",2018,2018,"{""quality"":""HD"",""height"":1080}",,"[]",541662,"[""Simulcast"",""Uncut""]","[""episode""]",1,"DMP","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Death Note Movies","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Drama"",""Horror"",""Psychological""]","[""VIZ Media""]","/shows/death-note-movies/","death-note-movies",2007,2007,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",597819,"[""Uncut""]","[""movie""]",1,"DNT","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Death Parade","Death Parade","","true","true","-","true","-",,true,true,false,true,false,false,false,true,false,"[""Psychological"",""Drama""]","[""Nippon Television Networks""]","/shows/death-parade/","death-parade",2015,2015,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""RTC|C"",""OFLC|MA15+"",""FVLB|M""]",19651,"[""Uncut"",""Simulcast""]","[""episode""]",1,"DPD","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","-","-","-","-","Show"
"Deep Insanity THE LOST CHILD","Deep Insanity THE LOST CHILD","Deep Insanity THE LOST CHILD","true","true","true","true","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi""]","[""Kadokawa""]","/shows/deep-insanity-the-lost-child/","deep-insanity-the-lost-child",2021,2021,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",2831743,"[""Simulcast""]","[""episode""]",1,"DLC","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Demon Lord, Retry!","Demon Lord, Retry!","Demon Lord, Retry!","true","true","-","-","-",false,false,false,false,false,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Hakuhodo""]","/shows/demon-lord-retry/","demon-lord-retry",2019,2019,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",916811,"[""Simulcast"",""Uncut""]","[""episode""]",1,"DOR","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","Show"
"Demon Slayer: Kimetsu no Yaiba","Demon Slayer: Kimetsu no Yaiba","Demon Slayer: Kimetsu no Yaiba","true","true","true","true","-",false,false,false,false,false,,,,,,"[""Action/Adventure"",""Shounen"",""Fantasy""]","[""Aniplex""]","/shows/demon-slayer-kimetsu-no-yaiba/","demon-slayer-kimetsu-no-yaiba",2021,2021,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",847520,"[""Simulcast"",""Uncut""]","[""episode"",""movie""]",1,"DSL","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Show"
"Devil May Cry","Devil May Cry","","true","true","-","-","-",,true,true,false,true,false,false,false,true,,"[""Action/Adventure"",""Fantasy""]","[""Showgate""]","/shows/devil-may-cry/","devil-may-cry",2007,2007,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""RTC|C"",""OFLC|MA15+"",""FVLB|R13""]",85103,"[""Uncut""]","[""episode""]",1,"DEV","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","-","-","-","-","Show"
"Diary of Our Days at the Breakwater","Diary of Our Days at the Breakwater","Diary of Our Days at the Breakwater","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Comedy"",""Slice of Life""]","[""Kadokawa""]","/shows/diary-of-our-days-at-the-breakwater/","diary-of-our-days-at-the-breakwater",2020,2020,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1074915,"[""Uncut"",""Simulcast""]","[""episode""]",1,"DOD","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Dies irae","","","true","true","-","-","-",,true,true,,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""CR KK""]","/shows/dies-irae/","dies-irae",2017,2017,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP15""]",527269,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,"DIE","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dimension W","Dimension W","Dimension W","true","true","-","-","-",false,false,false,false,false,,,,,,"[""Action/Adventure"",""Drama"",""Sci Fi""]","[""Bandai Visual Company""]","/shows/dimension-w/","dimension-w",2016,2016,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",91330,"[""Uncut"",""Simulcast""]","[""episode""]",1,"DIM","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","Show"
"Disgaea","","","true","true","-","-","-",,false,false,,false,,,,,,"[""Action/Adventure"",""Comedy""]","[""d-rights, Inc.""]","/shows/disgaea/","disgaea",2006,2006,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|GA"",""TV-US|TV-PG"",""zw-movies|PG""]",37368,"[""Uncut""]","[""episode""]",1,"DIS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Divine Gate","Divine Gate","Divine Gate","true","true","-","-","-",false,false,,false,false,,,,true,false,"[""Action/Adventure"",""Fantasy""]","[""Pierrot Co., LTD""]","/shows/divine-gate/","divine-gate",2016,2016,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""TV-US|TV-14"",""RTC|B15"",""CRRBR|A14"",""OFLC|MA15+"",""FVLB|M""]",94310,"[""Simulcast"",""Uncut""]","[""episode""]",1,"DVG","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?","Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?","Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?","-","true","-","-","-",false,true,true,false,true,,,,,,"[""Fantasy"",""Comedy"",""Action/Adventure""]","[""Aniplex""]","/shows/do-you-love-your-mom-and-her-two-hit-multi-target-attacks/","do-you-love-your-mom-and-her-two-hit-multi-target-attacks",2019,2019,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""DJCTQ|16"",""RTC|C"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",920051,"[""Simulcast""]","[""episode""]",1,"DYL","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","Show"
"Doamygar-D","Doamayger-D","Doamayger-D","true","true","-","-","-",false,false,,false,false,false,false,false,false,false,"[""Action/Adventure"",""Comedy""]","[""YTV""]","/shows/doamygar-d/","doamygar-d",2015,2015,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""TV-US|TV-PG"",""CRRBR|A12"",""RTC|AA"",""OFLC|PG"",""FVLB|PG""]",89391,"[""Simulcast""]","[""episode""]",1,"DMD","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Dog & Scissors","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[]","[""Gonzo""]","/shows/dog-scissors/","dog-scissors",2013,2013,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",3975494,"[""Uncut""]","[""episode""]",1,"DAS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dr. STONE","","","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi"",""Shounen""]","[""TMS""]","/shows/dr-stone/","dr-stone",2019,2019,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",916159,"[""Simulcast"",""Uncut""]","[""episode""]",1,"DRS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dragon Age: Dawn of the Seeker","","","true","true","-","-","-",,true,true,,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""Electronic Arts (EA)""]","/shows/dragon-age-dawn-of-the-seeker/","dragon-age-dawn-of-the-seeker",2012,2012,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|R13""]",32029,"[""Uncut""]","[""movie""]",1,"DGN","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dragon Ball","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Action/Adventure"",""Comedy"",""Fan Service"",""Fantasy""]","[""TOEI ANIMATION""]","/shows/dragon-ball/","dragon-ball",1986,1986,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|15"",""OFLC|M"",""FVLB|M""]",27295,"[""Uncut""]","[""episode"",""movie""]",1,"DBB","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dragon Ball GT","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Action/Adventure"",""Comedy"",""Fantasy"",""Shounen""]","[""TOEI ANIMATION""]","/shows/dragon-ball-gt/","dragon-ball-gt",1996,1996,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|GA"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|PG"",""FVLB|PG""]",25916,"[""Uncut""]","[""episode"",""movie""]",1,"DGT","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dragon Ball Super","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Action/Adventure"",""Shounen""]","[""TOEI ANIMATION""]","/shows/dragon-ball-super/","dragon-ball-super",2015,2015,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|GA"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",183044,"[""Uncut"",""Simulcast""]","[""episode"",""movie""]",1,"DBS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dragon Ball Z","","","true","true","-","-","-",,false,,,false,,,,false,false,"[""Action/Adventure"",""Comedy"",""Fantasy""]","[""TOEI ANIMATION""]","/shows/dragon-ball-z/","dragon-ball-z",1989,1989,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|PG"",""FVLB|PG""]",24278,"[""Uncut""]","[""episode"",""movie"",""special""]",1,"DBZ","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dragon Goes House-Hunting","Dragon Goes House-Hunting","Dragon Goes House-Hunting","true","true","true","true","-",false,false,false,false,false,,,,false,true,"[""Comedy"",""Fantasy"",""Action/Adventure""]","[""Pony Canyon""]","/shows/dragon-goes-house-hunting/","dragon-goes-house-hunting",2021,2021,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1396511,"[""Uncut"",""Simulcast""]","[""episode""]",1,"DGH","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Show"
"Dragonar Academy","","","true","true","-","-","-",,true,true,,true,,,,true,true,"[""Action/Adventure"",""Fantasy""]","[""Media Factory""]","/shows/dragonar-academy/","dragonar-academy",2014,2014,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|R15""]",90679,"[""Simulcast"",""Uncut""]","[""episode""]",1,"DAC","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dragonaut -THE RESONANCE-","","","true","true","-","-","-",,false,false,,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""GDH GONZO DIGIMATION""]","/shows/dragonaut-the-resonance-/","dragonaut-the-resonance-",2007,2007,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",35989,"[""Uncut""]","[""episode""]",1,"DRA","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Drifters","","","true","true","-","-","-",,true,false,,true,,,,,,"[""Action/Adventure"",""Fantasy""]","[""Geneon Entertainment""]","/shows/drifters/","drifters",2016,2016,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|PS"",""TV-US|TV-MA"",""zw-movies|18""]",155602,"[""Simulcast"",""Uncut""]","[""episode""]",1,"DRI","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Dropout Idol Fruit Tart","Dropout Idol Fruit Tart","Dropout Idol Fruit Tart","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Slice of Life""]","[""Kadokawa""]","/shows/dropout-idol-fruit-tart/","dropout-idol-fruit-tart",2020,2020,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1158724,"[""Uncut"",""Simulcast""]","[""episode""]",1,"DIF","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","Show"
"Drowning Sorrows in Raging Fire","Drowning Sorrows in Raging Fire","Drowning Sorrows in Raging Fire","-","-","-","-","true",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Drama""]","[""bilibili""]","/shows/drowning-sorrows-in-raging-fire/","drowning-sorrows-in-raging-fire",2021,2021,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""DJCTQ|14""]",2773476,"[""Uncut"",""Simulcast""]","[""episode""]",1,"DSF","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Durarara!!","Durarara!!","Durarara!!","true","true","-","-","-",,true,true,,true,,,,,,"[""Action/Adventure"",""Psychological"",""Comedy"",""Drama""]","[""Peppermint""]","/shows/durarara/","durarara",2010,2010,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",85644,"[""Simulcast""]","[""episode""]",1,"DUR","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"ENDRO!","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Fantasy"",""Comedy"",""Slice of Life""]","[""King Records""]","/shows/endro/","endro",2019,2019,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",810005,"[""Uncut"",""Simulcast""]","[""episode""]",1,"ENO","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Eden of the East","Eden of the East","Eden of the East","true","true","-","-","-",false,true,true,false,true,,,,true,,"[""Action/Adventure"",""Psychological""]","[""Fuji Creative""]","/shows/eden-of-the-east/","eden-of-the-east",2009,2009,"{""quality"":""HD"",""height"":1080}","TVMA","[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",54210,"[""Uncut""]","[""episode"",""movie""]",1,"EDN","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","-","Show"
"El Cazador de la Bruja","","","true","true","-","-","-",,true,true,,true,,,,true,true,"[""Action/Adventure"",""Drama""]","[""d-rights, Inc.""]","/shows/el-cazador-de-la-bruja/","el-cazador-de-la-bruja",2007,2007,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",30696,"[""Uncut""]","[""episode""]",1,"ECZ","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Emma: A Victorian Romance","","","true","true","-","-","-",,false,false,,,,,,false,false,"[""Romance"",""Slice of Life""]","[""Right Stuf, Inc""]","/shows/emma-a-victorian-romance/","emma-a-victorian-romance",2005,2005,"{""quality"":""HD"",""height"":1080}","TVY7","[""NCS|G"",""OFLC|G"",""TV-US|TV-Y7"",""CBSC|G"",""zw-movies|12"",""RTE|GA""]",1455923,"[""Uncut""]","[""episode""]",1,"EVR","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Endride","Endride","Endride","true","true","-","-","-",false,,,false,,,,,false,false,"[""Action/Adventure"",""Fantasy""]","[""NTV""]","/shows/endride/","endride",2016,2016,"{""quality"":""HD"",""height"":1080}",,"[""CRRBR|A14"",""RTC|B15"",""OFLC|M"",""FVLB|M""]",124981,"[""Simulcast"",""Uncut""]","[""episode""]",1,"END","-","Sí","Sí","-","-","-","-","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Ensemble Stars","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Shoujo""]","[""Bandai Namco Arts""]","/shows/ensemble-stars/","ensemble-stars",2019,2019,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|PG"",""FVLB|PG""]",918926,"[""Uncut"",""Simulcast""]","[""episode""]",1,"ENS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Erased","","","true","true","-","-","-",,false,false,,false,,,,true,,"[""Psychological"",""Drama""]","[""Aniplex Inc""]","/shows/erased/","erased",2016,2016,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|R13""]",91392,"[""Simulcast"",""Uncut""]","[""episode"",""special""]",1,"ERA","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Ergo Proxy","","","true","true","-","-","-",,true,true,,true,,,,,,"[""Sci Fi"",""Psychological""]","[""Geneon Entertainment""]","/shows/ergo-proxy/","ergo-proxy",2006,2006,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",27645,"[""Uncut""]","[""episode""]",1,"ERG","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Eromanga Sensei","Eromanga Sensei","Eromanga Sensei","-","true","-","-","-",false,false,false,false,false,,,,true,true,"[""Comedy"",""Drama"",""Romance"",""Fan Service""]","[""Aniplex""]","/shows/eromanga-sensei/","eromanga-sensei",2017,2017,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|MA15+"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1044419,"[""Uncut""]","[""episode""]",1,"ESE","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Eureka Seven","Eureka Seven  Hi-Evolution","Eureka Seven Hi-Evolution","true","true","-","-","-",,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi""]","[""Bandai Visual Company""]","/shows/eureka-seven/","eureka-seven",2005,2005,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|14""]",17896,"[""Uncut""]","[""movie"",""episode""]",1,"EU7","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Eureka Seven AO","Eureka Seven AO","Eureka Seven AO","true","true","-","-","-",false,false,false,false,false,false,false,false,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Bandai Visual Company""]","/shows/eureka-seven-ao/","eureka-seven-ao",2012,2012,"{""quality"":""HD"",""height"":1080}","TV14","[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",18531,"[""Simulcast"",""Uncut""]","[""episode""]",1,"EUR","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Excel Saga","","","true","true","-","-","-",,true,true,,true,,,,,,"[""Sci Fi"",""Comedy""]","[""FlyingDog Inc.""]","/shows/excel-saga/","excel-saga",1999,1999,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",30715,"[""Uncut""]","[""episode""]",1,"EXL","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
