"title","titleExt.es","titleExt.pt","languages.English","languages.Japanese","languages.Portuguese (Brazil)","languages.Spanish (Latin Am)","languages.Chinese (Mandarin, PRC)","maturity.bra","maturity.ca","maturity.irl","maturity.mex","maturity.usa","maturity.chl","maturity.per","maturity.col","maturity.aus","maturity.nzl","genres","studios","showUrl","showSlug","productionYear","releaseYear","quality","ratingUsTvMpaa","ratingPairs","venueId","versions","videoTypes","relevancy","id","synopsis.long","synopsis.medium","synopsis.short","synopsisExt.de.long","synopsisExt.de.medium","synopsisExt.de.short","synopsisExt.en.long","synopsisExt.en.medium","synopsisExt.en.short","synopsisExt.es.long","synopsisExt.es.medium","synopsisExt.es.short","synopsisExt.fr.long","synopsisExt.fr.medium","synopsisExt.fr.short","synopsisExt.pt.long","synopsisExt.pt.medium","synopsisExt.pt.short","synopsisExt.ru.long","synopsisExt.ru.medium","synopsisExt.ru.short","type"
"Ah! My Goddess: Flights of Fancy","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Romance"",""Comedy""]","[""Kodansha""]","/shows/ah-my-goddess-flights-of-fancy/","ah-my-goddess-flights-of-fancy",2006,2006,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|PG"",""FVLB|PG""]",103113,"[""Uncut""]","[""episode""]",1,"AMG","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Ai Tenchi Muyo","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Comedy"",""Sci Fi"",""Shounen""]","[""YTE""]","/shows/ai-tenchi-muyo/","ai-tenchi-muyo",2014,2014,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",557617,"[""Uncut"",""Simulcast""]","[""episode""]",1,"ATE","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Ai Yori Aoshi","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Comedy"",""Drama""]","[""Geneon Entertainment""]","/shows/ai-yori-aoshi/","ai-yori-aoshi",2002,2002,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",30464,"[""Uncut""]","[""episode"",""special""]",1,"AYA","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Air Gear","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Fan Service"",""Action/Adventure""]","[""Kodansha""]","/shows/air-gear/","air-gear",2006,2006,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",52940,"[""Uncut""]","[""episode"",""special""]",1,"AGR","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Akashic Records of Bastard Magic Instructor","","","true","true","-","-","-",,true,true,,true,,,,true,true,"[""Action/Adventure""]","[""Kadokawa Pictures""]","/shows/akashic-records-of-bastard-magic-instructor/","akashic-records-of-bastard-magic-instructor",2017,2017,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",369820,"[""Uncut"",""Simulcast""]","[""episode""]",1,"ARS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Akebi's Sailor Uniform","Akebi's Sailor Uniform","Akebi's Sailor Uniform","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Slice of Life""]","[""Aniplex""]","/shows/akebis-sailor-uniform/","akebis-sailor-uniform",2022,2022,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",4034512,"[""Simulcast""]","[""episode""]",1,"ASU","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Akiba's Trip The Animation","Akiba's Trip","Akiba's Trip","true","true","-","-","-",false,true,true,false,true,,,,,,"[""Action/Adventure"",""Fan Service""]","[""Gonzo""]","/shows/akibas-trip-the-animation/","akibas-trip-the-animation",2017,2017,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""DJCTQ|16"",""RTC|C"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",256256,"[""Simulcast"",""Uncut""]","[""episode""]",1,"AKT","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","-","-","Sí","-","-","-","Show"
"Akira","","","true","true","-","-","-",,true,true,,true,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Kodansha""]","/shows/akira/","akira",1988,1988,"{""quality"":""HD"",""height"":1080}",,"[""CHVRS|18A"",""IFCOF|18"",""MPAA|R"",""zw-movies|18""]",40304,"[""Uncut""]","[""movie""]",1,"AKR","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Akudama Drive","Akudama Drive","Akudama Drive","true","true","true","true","-",false,true,true,false,true,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Pierrot""]","/shows/akudama-drive/","akudama-drive",2020,2020,"{""quality"":""HD"",""height"":1080}","TVMA","[""CBSC|18"",""DJCTQ|16"",""RTC|C"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",1159388,"[""Uncut"",""Simulcast""]","[""episode""]",1,"AKU","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","-","-","Sí","Sí","Sí","Sí","Show"
"Alderamin on the Sky","","","true","true","-","-","-",,false,,,false,,,,false,false,"[""Action/Adventure"",""Drama"",""Fantasy""]","[""Crunchyroll""]","/shows/alderamin-on-the-sky/","alderamin-on-the-sky",2016,2016,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",205601,"[""Simulcast"",""Uncut""]","[""episode""]",1,"ALD","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Alice & Zoroku","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Action/Adventure"",""Comedy""]","[""Bandai Visual Company""]","/shows/alice-zoroku/","alice-zoroku",2017,2017,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",365302,"[""Simulcast"",""Uncut""]","[""episode""]",1,"AZR","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Alien vs Ninja","","","true","true","-","-","-",,false,false,,false,,,,,,"[""Live-Action"",""Action/Adventure""]","[""Nikkatsu Corp""]","/shows/alien-vs-ninja/","alien-vs-ninja",2009,2009,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG""]",44804,"[""Uncut""]","[""movie""]",1,"AVN","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Ancient Girl's Frame","Ancient Girl's Frame","Ancient Girls Frame","-","true","-","-","true",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi"",""Drama""]","[""bilibili""]","/shows/ancient-girls-frame/","ancient-girls-frame",2021,2021,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",2773547,"[""Simulcast""]","[""episode""]",1,"AGF","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"And you thought there is never a girl online?","And You Thought There Is Never A Girl Online","And You Thought There Is Never A Girl Online","true","true","-","-","-",false,,,false,,false,false,false,false,false,"[""Comedy"",""Fan Service""]","[""Geneon Entertainment""]","/shows/and-you-thought-there-is-never-a-girl-online/","and-you-thought-there-is-never-a-girl-online",2016,2016,"{""quality"":""HD"",""height"":1080}",,"[""RTC|C"",""CRRBR|A16"",""OFLC|M"",""FVLB|M""]",126708,"[""Simulcast"",""Uncut""]","[""episode""]",1,"AYT","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Angel Beats!","Angel Beats!","Angel Beats!","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Comedy"",""Drama""]","[""Aniplex""]","/shows/angel-beats/","angel-beats",2010,2010,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1007443,"[""Uncut""]","[""episode""]",1,"ABS","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
"Angel Links","","","true","true","-","-","-",,false,false,,false,,,,,,"[""Sci Fi"",""Action/Adventure"",""Drama""]","[""Sunrise""]","/shows/angel-links/","angel-links",1999,1999,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",576032,"[""Uncut""]","[""episode""]",1,"ANL","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Angels of Death","","","true","true","-","-","-",,false,false,,false,,,,true,,"[""Horror"",""Action/Adventure"",""Psychological""]","[""Kadokawa Pictures""]","/shows/angels-of-death/","angels-of-death",2018,2018,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|R13""]",570845,"[""Uncut"",""Simulcast""]","[""episode""]",1,"AND","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Anime-Gataris","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Comedy"",""Slice of Life""]","[""DMM""]","/shows/anime-gataris/","anime-gataris",2017,2017,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",526103,"[""Uncut"",""Simulcast""]","[""episode""]",1,"ANG","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Anohana: The Flower We Saw That Day","","","true","true","-","-","-",,false,false,,false,,,,,,"[""Drama"",""Romance""]","[""Aniplex""]","/shows/anohana-the-flower-we-saw-that-day/","anohana-the-flower-we-saw-that-day",2011,2011,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1148030,"[""Uncut""]","[""episode""]",1,"ANO","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Appleseed XIII","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Production IG Inc. - Japan""]","/shows/appleseed-xiii/","appleseed-xiii",2011,2011,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",30475,"[""Uncut""]","[""episode"",""movie""]",1,"APP","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Aquarion","","","true","true","-","-","-",,false,false,,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Tohokushinsha Film Corporation""]","/shows/aquarion/","aquarion",2005,2005,"{""quality"":""HD"",""height"":1080}","TVPG","[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG""]",27620,"[""Uncut""]","[""episode""]",1,"AQU","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Aquarion EVOL","","","true","true","-","-","-",,false,false,,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Tohokushinsha Film Corporation""]","/shows/aquarion-evol/","aquarion-evol",2012,2012,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",23489,"[""Uncut""]","[""episode""]",1,"AQE","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Aquarion Logos","Aquarion Logos","Aquarion Logos","true","true","-","-","-",false,false,false,false,false,false,false,false,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Kadokawa Pictures""]","/shows/aquarion-logos/","aquarion-logos",2015,2015,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""CRRBR|A14"",""RTC|B15"",""OFLC|M"",""FVLB|M""]",93594,"[""Uncut"",""Simulcast""]","[""ova"",""episode""]",1,"AQL","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","Sí","-","-","-","-","-","Sí","-","-","-","Show"
"Arakawa Under the Bridge","","","-","true","-","-","-",,false,false,,false,,,,false,false,"[""Comedy"",""Slice of Life"",""Romance""]","[""NIS America Inc""]","/shows/arakawa-under-the-bridge/","arakawa-under-the-bridge",2010,2010,"{""quality"":""HD"",""height"":1080}","TV14","[""NCS|M"",""OFLC|M"",""TV-US|TV-14"",""CBSC|14"",""zw-movies|15"",""RTE|PS""]",1407242,"[""Uncut""]","[""episode""]",1,"AUB","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Aria the Scarlet Ammo","","","true","true","-","-","-",,false,false,,false,,,,false,false,"[""Action/Adventure"",""Comedy""]","[""Media Factory""]","/shows/aria-the-scarlet-ammo/","aria-the-scarlet-ammo",2011,2011,"{""quality"":""HD"",""height"":1080}","TV14","[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",42714,"[""Uncut"",""Simulcast""]","[""episode""]",1,"ASA","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","-","-","-","-","-","-","Show"
"Arifureta: From Commonplace to World's Strongest","Arifureta: From Commonplace to World's Strongest","Arifureta: From Commonplace to World's Strongest","true","true","true","true","-",false,true,true,false,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""Hakuhodo""]","/shows/arifureta-from-commonplace-to-worlds-strongest/","arifureta-from-commonplace-to-worlds-strongest",2019,2019,"{""quality"":""HD"",""height"":1080}","TVMA","[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""DJCTQ|16""]",917138,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,"ARI","-","-","-","-","-","-","-","-","-","-","-","-","Sí","Sí","Sí","-","-","-","-","-","-","Show"
"Armitage III","Armitage III","Armitage III","true","true","-","-","-",false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi""]","[""Geneon Entertainment""]","/shows/armitage-iii/","armitage-iii",1995,1995,"{""quality"":""HD"",""height"":1080}","TV14","[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",74669,"[""Uncut""]","[""ova"",""movie""]",1,"ARM","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","Sí","Sí","Sí","-","-","-","Sí","Sí","Sí","-","-","-","Show"
