title,titleExt.es,titleExt.pt,languages.English,languages.Japanese,languages.Portuguese (Brazil),languages.Spanish (Latin Am),"languages.Chinese (Mandarin, PRC)",synopsis.long,synopsis.short,synopsis.medium,synopsisExt.en.long,synopsisExt.en.medium,synopsisExt.en.short,synopsisExt.es.long,synopsisExt.es.medium,synopsisExt.es.short,synopsisExt.pt.long,synopsisExt.pt.medium,synopsisExt.pt.short,synopsisExt.ru.long,synopsisExt.ru.medium,synopsisExt.ru.short,synopsisExt.fr.long,synopsisExt.fr.medium,synopsisExt.fr.short,synopsisExt.de.long,synopsisExt.de.medium,synopsisExt.de.short,maturity.bra,maturity.ca,maturity.irl,maturity.mex,maturity.usa,maturity.chl,maturity.per,maturity.col,maturity.aus,maturity.nzl,genres,studios,showUrl,showSlug,productionYear,releaseYear,quality,ratingUsTvMpaa,ratingPairs,venueId,versions,videoTypes,relevancy,id,type
Ah! My Goddess: Flights of Fancy,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Romance"",""Comedy""]","[""Kodansha""]",/shows/ah-my-goddess-flights-of-fancy/,ah-my-goddess-flights-of-fancy,2006,2006,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|PG"",""FVLB|PG""]",103113,"[""Uncut""]","[""episode""]",1,AMG,Show
Ai Tenchi Muyo,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Sci Fi"",""Shounen""]","[""YTE""]",/shows/ai-tenchi-muyo/,ai-tenchi-muyo,2014,2014,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",557617,"[""Uncut"",""Simulcast""]","[""episode""]",1,ATE,Show
Ai Yori Aoshi,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Drama""]","[""Geneon Entertainment""]",/shows/ai-yori-aoshi/,ai-yori-aoshi,2002,2002,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",30464,"[""Uncut""]","[""episode"",""special""]",1,AYA,Show
Air Gear,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Fan Service"",""Action/Adventure""]","[""Kodansha""]",/shows/air-gear/,air-gear,2006,2006,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",52940,"[""Uncut""]","[""episode"",""special""]",1,AGR,Show
Akashic Records of Bastard Magic Instructor,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,true,"[""Action/Adventure""]","[""Kadokawa Pictures""]",/shows/akashic-records-of-bastard-magic-instructor/,akashic-records-of-bastard-magic-instructor,2017,2017,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",369820,"[""Uncut"",""Simulcast""]","[""episode""]",1,ARS,Show
Akebi's Sailor Uniform,Akebi's Sailor Uniform,Akebi's Sailor Uniform,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Slice of Life""]","[""Aniplex""]",/shows/akebis-sailor-uniform/,akebis-sailor-uniform,2022,2022,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",4034512,"[""Simulcast""]","[""episode""]",1,ASU,Show
Akiba's Trip The Animation,Akiba's Trip,Akiba's Trip,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,Sí,Sí,Sí,-,-,-,false,true,true,false,true,,,,,,"[""Action/Adventure"",""Fan Service""]","[""Gonzo""]",/shows/akibas-trip-the-animation/,akibas-trip-the-animation,2017,2017,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""DJCTQ|16"",""RTC|C"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",256256,"[""Simulcast"",""Uncut""]","[""episode""]",1,AKT,Show
Akira,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Kodansha""]",/shows/akira/,akira,1988,1988,"{""quality"":""HD"",""height"":1080}",,"[""CHVRS|18A"",""IFCOF|18"",""MPAA|R"",""zw-movies|18""]",40304,"[""Uncut""]","[""movie""]",1,AKR,Show
Akudama Drive,Akudama Drive,Akudama Drive,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,false,true,true,false,true,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Pierrot""]",/shows/akudama-drive/,akudama-drive,2020,2020,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""DJCTQ|16"",""RTC|C"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",1159388,"[""Uncut"",""Simulcast""]","[""episode""]",1,AKU,Show
Alderamin on the Sky,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,false,false,"[""Action/Adventure"",""Drama"",""Fantasy""]","[""Crunchyroll""]",/shows/alderamin-on-the-sky/,alderamin-on-the-sky,2016,2016,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",205601,"[""Simulcast"",""Uncut""]","[""episode""]",1,ALD,Show
Alice & Zoroku,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Comedy""]","[""Bandai Visual Company""]",/shows/alice-zoroku/,alice-zoroku,2017,2017,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",365302,"[""Simulcast"",""Uncut""]","[""episode""]",1,AZR,Show
Alien vs Ninja,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Live-Action"",""Action/Adventure""]","[""Nikkatsu Corp""]",/shows/alien-vs-ninja/,alien-vs-ninja,2009,2009,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG""]",44804,"[""Uncut""]","[""movie""]",1,AVN,Show
Ancient Girl's Frame,Ancient Girl's Frame,Ancient Girls Frame,-,true,-,-,true,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi"",""Drama""]","[""bilibili""]",/shows/ancient-girls-frame/,ancient-girls-frame,2021,2021,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",2773547,"[""Simulcast""]","[""episode""]",1,AGF,Show
And you thought there is never a girl online?,And You Thought There Is Never A Girl Online,And You Thought There Is Never A Girl Online,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,,,false,,false,false,false,false,false,"[""Comedy"",""Fan Service""]","[""Geneon Entertainment""]",/shows/and-you-thought-there-is-never-a-girl-online/,and-you-thought-there-is-never-a-girl-online,2016,2016,"{""quality"":""HD"",""height"":1080}",,"[""RTC|C"",""CRRBR|A16"",""OFLC|M"",""FVLB|M""]",126708,"[""Simulcast"",""Uncut""]","[""episode""]",1,AYT,Show
Angel Beats!,Angel Beats!,Angel Beats!,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Comedy"",""Drama""]","[""Aniplex""]",/shows/angel-beats/,angel-beats,2010,2010,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1007443,"[""Uncut""]","[""episode""]",1,ABS,Show
Angel Links,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Sci Fi"",""Action/Adventure"",""Drama""]","[""Sunrise""]",/shows/angel-links/,angel-links,1999,1999,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",576032,"[""Uncut""]","[""episode""]",1,ANL,Show
Angels of Death,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,true,,"[""Horror"",""Action/Adventure"",""Psychological""]","[""Kadokawa Pictures""]",/shows/angels-of-death/,angels-of-death,2018,2018,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|R13""]",570845,"[""Uncut"",""Simulcast""]","[""episode""]",1,AND,Show
Anime-Gataris,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Slice of Life""]","[""DMM""]",/shows/anime-gataris/,anime-gataris,2017,2017,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",526103,"[""Uncut"",""Simulcast""]","[""episode""]",1,ANG,Show
Anohana: The Flower We Saw That Day,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Drama"",""Romance""]","[""Aniplex""]",/shows/anohana-the-flower-we-saw-that-day/,anohana-the-flower-we-saw-that-day,2011,2011,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1148030,"[""Uncut""]","[""episode""]",1,ANO,Show
Appleseed XIII,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Production IG Inc. - Japan""]",/shows/appleseed-xiii/,appleseed-xiii,2011,2011,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|M"",""FVLB|M""]",30475,"[""Uncut""]","[""episode"",""movie""]",1,APP,Show
Aquarion,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Tohokushinsha Film Corporation""]",/shows/aquarion/,aquarion,2005,2005,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG""]",27620,"[""Uncut""]","[""episode""]",1,AQU,Show
Aquarion EVOL,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Action/Adventure"",""Sci Fi""]","[""Tohokushinsha Film Corporation""]",/shows/aquarion-evol/,aquarion-evol,2012,2012,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",23489,"[""Uncut""]","[""episode""]",1,AQE,Show
Aquarion Logos,Aquarion Logos,Aquarion Logos,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,"[""Action/Adventure"",""Sci Fi""]","[""Kadokawa Pictures""]",/shows/aquarion-logos/,aquarion-logos,2015,2015,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""CRRBR|A14"",""RTC|B15"",""OFLC|M"",""FVLB|M""]",93594,"[""Uncut"",""Simulcast""]","[""ova"",""episode""]",1,AQL,Show
Arakawa Under the Bridge,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Slice of Life"",""Romance""]","[""NIS America Inc""]",/shows/arakawa-under-the-bridge/,arakawa-under-the-bridge,2010,2010,"{""quality"":""HD"",""height"":1080}",TV14,"[""NCS|M"",""OFLC|M"",""TV-US|TV-14"",""CBSC|14"",""zw-movies|15"",""RTE|PS""]",1407242,"[""Uncut""]","[""episode""]",1,AUB,Show
Aria the Scarlet Ammo,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Action/Adventure"",""Comedy""]","[""Media Factory""]",/shows/aria-the-scarlet-ammo/,aria-the-scarlet-ammo,2011,2011,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",42714,"[""Uncut"",""Simulcast""]","[""episode""]",1,ASA,Show
Arifureta: From Commonplace to World's Strongest,Arifureta: From Commonplace to World's Strongest,Arifureta: From Commonplace to World's Strongest,true,true,true,true,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sí,Sí,Sí,-,-,-,false,true,true,false,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""Hakuhodo""]",/shows/arifureta-from-commonplace-to-worlds-strongest/,arifureta-from-commonplace-to-worlds-strongest,2019,2019,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""DJCTQ|16""]",917138,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,ARI,Show
Armitage III,Armitage III,Armitage III,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi""]","[""Geneon Entertainment""]",/shows/armitage-iii/,armitage-iii,1995,1995,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",74669,"[""Uncut""]","[""ova"",""movie""]",1,ARM,Show
Arte,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,false,true,"[""Drama"",""Slice of Life""]","[""NBC Universal""]",/shows/arte/,arte,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1074003,"[""Uncut"",""Simulcast""]","[""episode""]",1,ART,Show
As the Gods Will,As the Gods Will,As the Gods Will,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,,,,true,true,"[""Drama"",""Horror"",""Live-Action""]","[""Toho""]",/shows/as-the-gods-will/,as-the-gods-will,2014,2014,"{""quality"":""HD"",""height"":1080}",TVMA,"[""NCS|R18+"",""OFLC|R18+"",""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|18"",""CRRBR|A16"",""RTC|C""]",554507,"[""Uncut""]","[""movie""]",1,AGW,Show
Assassination Classroom,Assassination Classroom,Assassination Classroom,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,false,"[""Action/Adventure"",""Comedy"",""Sci Fi""]","[""Fuji Creative""]",/shows/assassination-classroom/,assassination-classroom,2015,2015,"{""quality"":""HD"",""height"":1080}",TV14,"[""NCS|M"",""OFLC|M"",""TV-US|TV-14"",""CBSC|14"",""zw-movies|15"",""RTE|PS"",""CRRBR|A16"",""RTC|B15""]",19373,"[""Simulcast"",""Uncut""]","[""episode"",""movie""]",1,ASS,Show
Assassination Classroom the Movies (Live Action),,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,false,"[""Comedy"",""Live-Action"",""Sci Fi""]","[""Pony Canyon""]",/shows/assassination-classroom-the-movies-live-action/,assassination-classroom-the-movies-live-action,2015,2015,"{""quality"":""HD"",""height"":1080}",TV14,"[""NCS|M"",""OFLC|M"",""TV-US|TV-14"",""CBSC|14"",""zw-movies|15"",""RTE|PS"",""CRRBR|A16"",""RTC|B15""]",560773,"[""Uncut""]","[""movie""]",1,ASL,Show
Assault Lily BOUQUET,Assault Lily BOUQUET,Assault Lily BOUQUET,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Fantasy""]","[""TBS""]",/shows/assault-lily-bouquet/,assault-lily-bouquet,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1173191,"[""Uncut"",""Simulcast""]","[""episode""]",1,ALB,Show
Asteroid in Love,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,false,true,"[""Slice of Life"",""Comedy""]","[""Kadokawa""]",/shows/asteroid-in-love/,asteroid-in-love,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1034834,"[""Simulcast"",""Uncut""]","[""episode""]",1,AIL,Show
Astro Boy,,,true,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,false,,,,false,false,"[""Action/Adventure""]","[""Right Stuf, Inc""]",/shows/astro-boy/,astro-boy,1963,1963,"{""quality"":""HD"",""height"":1080}",TVG,"[""TV-US|TV-G"",""OFLC|PG"",""FVLB|PG""]",1037596,"[""Uncut""]","[""episode""]",1,ASB,Show
Athena: Goddess of War,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Live-Action"",""Drama""]","[""Fine Cut Co. Ltd""]",/shows/athena-goddess-of-war/,athena-goddess-of-war,2010,2010,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",45070,"[""Uncut""]","[""movie""]",1,ATH,Show
